"survey","hh_key","household_weight","region10","urban","hh_size","head_age","head_female","water_source_cat","cooking_fuel_cat","roof_material_cat","sleeping_rooms","floor_material_screen","floor_non_earth","members_total","female_members","children_under5","children_under15","adults_15plus","elders_65plus","has_electricity","toilet_type_screen","head_educ_cat","welfare","poverty_status","poverty_status_code","nhis_any_member_registered","nhis_any_missing","totexpeqsc_real","fdexpeqsc_real","nfexpeqsc_real","TOTHLTH","wealth_index","wealth_score"
"DHS2014","11_1",0.847549,7,0,9,42,0,"borehole_tube_well","wood","natural_thatch_bamboo",2,"cement_or_finished",1,9,5,3,6,3,0,0,"pit_or_kvip","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,1,-0.90894
"DHS2014","119_26",0.904278,5,0,5,33,1,"public_or_neighbor_piped","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,5,4,2,4,1,0,1,"pit_or_kvip","none_or_primary",NA,NA,NA,1,0,NA,NA,NA,NA,3,-0.11668
"DHS2014","95_16",0.350421,10,0,6,35,0,"borehole_tube_well","wood","sheet_metal_asbestos_slate",2,"cement_or_finished",1,6,4,1,4,2,0,1,"no_facility","none_or_primary",NA,NA,NA,1,0,NA,NA,NA,NA,2,-0.53419
"DHS2014","257_5",0.732884,5,1,4,42,0,"piped_dwelling_or_yard","gas_or_electricity","sheet_metal_asbestos_slate",2,"cement_or_finished",1,4,1,0,2,2,0,1,"flush_or_wc","higher",NA,NA,NA,1,0,NA,NA,NA,NA,5,1.81194
"DHS2014","256_21",2.095426,6,0,1,21,1,"packaged_water","gas_or_electricity","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,1,0,0,1,0,1,"flush_or_wc","secondary_or_vocational",NA,NA,NA,0,0,NA,NA,NA,NA,4,0.91655
"DHS2014","368_4",0.443851,9,1,4,40,0,"protected_well_spring","charcoal","sheet_metal_asbestos_slate",2,"cement_or_finished",1,4,1,2,2,2,0,1,"pit_or_kvip","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,3,-0.23736
"DHS2014","352_22",1.974111,6,0,1,63,0,"borehole_tube_well","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,0,0,0,1,0,0,"no_facility","none_or_primary",NA,NA,NA,0,0,NA,NA,NA,NA,2,-0.70071
"DHS2014","67_15",0.820915,5,0,2,25,1,"borehole_tube_well","gas_or_electricity","sheet_metal_asbestos_slate",1,"cement_or_finished",1,2,1,1,1,1,0,1,"pit_or_kvip","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,3,0.29675
"DHS2014","401_6",0.808438,7,1,2,30,0,"surface_or_unprotected","charcoal","sheet_metal_asbestos_slate",1,"cement_or_finished",1,2,1,0,0,2,0,1,"pit_or_kvip","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,4,0.62335
"DHS2014","414_16",0.466891,8,1,1,26,1,"piped_dwelling_or_yard","gas_or_electricity","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,1,0,0,1,0,1,"pit_or_kvip","secondary_or_vocational",NA,NA,NA,1,0,NA,NA,NA,NA,3,0.31869
"DHS2014","425_29",1.492979,6,1,3,28,0,"packaged_water","gas_or_electricity","sheet_metal_asbestos_slate",1,"cement_or_finished",1,3,1,1,1,2,0,1,"pit_or_kvip","secondary_or_vocational",NA,NA,NA,0,0,NA,NA,NA,NA,5,1.18824
"DHS2014","212_21",0.946368,6,1,1,26,0,"packaged_water","no_cooking","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,0,0,0,1,0,1,"pit_or_kvip","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,4,0.64976
"DHS2014","421_8",1.399412,6,1,2,60,1,"public_or_neighbor_piped","charcoal","sheet_metal_asbestos_slate",1,"cement_or_finished",1,2,2,0,0,2,0,0,"pit_or_kvip","none_or_primary",NA,NA,NA,0,0,NA,NA,NA,NA,2,-0.35928
"DHS2014","362_1",1.453691,6,1,1,65,1,"piped_dwelling_or_yard","charcoal","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,1,0,0,1,1,1,"pit_or_kvip","none_or_primary",NA,NA,NA,0,0,NA,NA,NA,NA,4,0.35238
"DHS2014","386_16",1.997967,6,0,6,43,0,"borehole_tube_well","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,6,2,3,4,2,0,1,"no_facility","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,2,-0.39685
"DHS2014","28_26",1.269748,3,0,5,28,0,"packaged_water","gas_or_electricity","sheet_metal_asbestos_slate",1,"cement_or_finished",1,5,2,2,3,2,0,1,"pit_or_kvip","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,4,0.81628
"DHS2014","44_1",1.08474,9,0,7,48,0,"public_or_neighbor_piped","wood","natural_thatch_bamboo",4,"cement_or_finished",1,7,4,0,3,4,1,0,"no_facility","none_or_primary",NA,NA,NA,1,0,NA,NA,NA,NA,1,-1.92771
"DHS2014","377_18",1.11117,7,0,2,71,0,"surface_or_unprotected","wood","sheet_metal_asbestos_slate",2,"cement_or_finished",1,2,1,0,0,2,1,0,"pit_or_kvip","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,2,-0.32503
"DHS2014","317_12",1.186583,4,0,3,26,1,"borehole_tube_well","charcoal","sheet_metal_asbestos_slate",1,"cement_or_finished",1,3,2,1,1,2,0,1,"pit_or_kvip","higher",NA,NA,NA,1,0,NA,NA,NA,NA,3,0.11902
"DHS2014","244_21",1.597202,6,1,5,23,1,"packaged_water","charcoal","sheet_metal_asbestos_slate",1,"cement_or_finished",1,5,3,2,3,2,0,1,"pit_or_kvip","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,5,1.21698
"DHS2014","373_10",1.189036,3,1,2,60,1,"packaged_water","charcoal","sheet_metal_asbestos_slate",1,"cement_or_finished",1,2,2,0,1,1,0,1,"pit_or_kvip","none_or_primary",NA,NA,NA,1,0,NA,NA,NA,NA,4,0.65782
"DHS2014","117_2",2.110452,3,1,6,54,1,"public_or_neighbor_piped","charcoal","sheet_metal_asbestos_slate",4,"cement_or_finished",1,6,1,0,1,5,0,1,"pit_or_kvip","none_or_primary",NA,NA,NA,1,0,NA,NA,NA,NA,2,-0.27823
"DHS2014","103_14",0.837137,7,0,1,23,0,"packaged_water","gas_or_electricity","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,0,0,0,1,0,1,"no_facility","none_or_primary",NA,NA,NA,0,0,NA,NA,NA,NA,3,0.13525
"DHS2014","393_7",0.609154,1,1,2,75,0,"public_or_neighbor_piped","wood","sheet_metal_asbestos_slate",2,"cement_or_finished",1,2,1,0,0,2,1,1,"pit_or_kvip","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,3,0.24717
"DHS2014","74_3",0.377184,10,1,1,22,0,"public_or_neighbor_piped","gas_or_electricity","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,0,0,0,1,0,1,"pit_or_kvip","secondary_or_vocational",NA,NA,NA,1,0,NA,NA,NA,NA,4,0.55179
"DHS2014","414_1",0.466891,8,1,6,41,1,"piped_dwelling_or_yard","gas_or_electricity","cement_tile_shingle",5,"cement_or_finished",1,6,3,2,3,3,0,1,"flush_or_wc","higher",NA,NA,NA,1,0,NA,NA,NA,NA,5,1.65216
"DHS2014","129_9",2.075377,3,1,1,32,0,"packaged_water","no_cooking","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,0,0,0,1,0,1,"flush_or_wc","none_or_primary",NA,NA,NA,0,0,NA,NA,NA,NA,4,0.84993
