"survey","hh_key","household_weight","region10","urban","hh_size","head_age","head_female","water_source_cat","cooking_fuel_cat","roof_material_cat","sleeping_rooms","floor_material_screen","floor_non_earth","members_total","female_members","children_under5","children_under15","adults_15plus","elders_65plus","has_electricity","toilet_type_screen","head_educ_cat","welfare","poverty_status","poverty_status_code","nhis_any_member_registered","nhis_any_missing","totexpeqsc_real","fdexpeqsc_real","nfexpeqsc_real","TOTHLTH","wealth_index","wealth_score"
"GLSS6","60342/10",1187.33984375,3,1,2,38,0,"packaged_water","gas_or_electricity","sheet_metal_asbestos_slate",2,"cement_or_finished",1,2,1,0,0,2,0,1,"flush_or_wc","higher",6553.568359375,"Non poor",2,1,0,17.9549808502197,7.73657703399658,10.2184038162231,0,NA,NA
"GLSS6","61105/08",41.8284454345703,10,0,5,51,1,"borehole_tube_well","wood","natural_thatch_bamboo",3,"earth_mud_dung",0,5,2,0,1,4,0,0,"pit_or_kvip","none_or_primary",281.877685546875,"Very poor",0,0,0,0.772267639636993,0.442073047161102,0.330194592475891,11.6800003051758,NA,NA
"GLSS6","60034/07",205.083862304688,1,1,5,37,0,"packaged_water","gas_or_electricity","cement_tile_shingle",2,"cement_or_finished",1,5,2,1,3,2,0,1,"flush_or_wc","basic_or_middle",4253.39111328125,"Non poor",2,1,0,11.6531257629395,3.96452403068542,7.68860149383545,919.799987792969,NA,NA
"GLSS6","60828/04",313.911193847656,7,1,7,50,0,"public_or_neighbor_piped","wood","sheet_metal_asbestos_slate",2,"cement_or_finished",1,7,3,0,2,5,0,0,"pit_or_kvip","basic_or_middle",2091.001953125,"Non poor",2,1,0,5.72877264022827,3.36791396141052,2.36085867881775,17.5200004577637,NA,NA
"GLSS6","60169/06",194.885650634766,2,0,1,36,1,"public_or_neighbor_piped","charcoal","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,1,0,0,1,0,0,"pit_or_kvip","basic_or_middle",4075.5234375,"Non poor",2,0,0,11.1658172607422,7.17410850524902,3.99170875549316,0,NA,NA
"GLSS6","60605/02",369.314727783203,5,0,3,34,0,"public_or_neighbor_piped","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,3,2,1,1,2,0,1,"pit_or_kvip","basic_or_middle",2936.85327148438,"Non poor",2,1,0,8.04617309570312,5.80804872512817,2.23812437057495,87.6000061035156,NA,NA
"GLSS6","61043/07",205.885528564453,9,0,1,23,0,"borehole_tube_well","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,0,0,0,1,0,1,"no_facility","secondary_or_vocational",8766.2578125,"Non poor",2,1,0,24.0171451568604,7.95221471786499,16.0649299621582,29.2000007629395,NA,NA
"GLSS6","60051/06",442.771606445312,1,0,7,60,1,"protected_well_spring","wood","natural_thatch_bamboo",2,"earth_mud_dung",0,7,6,1,2,5,0,0,"pit_or_kvip","none_or_primary",1118.89721679688,"Poor",1,1,0,3.06547212600708,1.74536776542664,1.32010436058044,43.7999992370605,NA,NA
"GLSS6","60290/08",419.717224121094,3,1,1,34,0,"packaged_water","gas_or_electricity","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,0,0,0,1,0,1,"flush_or_wc","higher",8666.5341796875,"Non poor",2,1,0,23.7439289093018,5.58178615570068,18.1621437072754,0,NA,NA
"GLSS6","60376/04",208.24430847168,3,0,3,47,0,"borehole_tube_well","wood","sheet_metal_asbestos_slate",2,"cement_or_finished",1,3,0,0,0,3,0,0,"pit_or_kvip","none_or_primary",2743.72045898438,"Non poor",2,0,0,7.51704168319702,1.27217078208923,6.24487113952637,0,NA,NA
